Gene_ID	Expression
YDR032C	2299.01
YDR033W	825.053
YDR034C	389.266
YDR034C-A	2345.77
YDR034C-C	0
YDR034C-D	209.821
YDR034W-B	1125.28
YDR035W	150.742
YDR036C	13.348
YDR037W	126.463
YDR038C	458.104
YDR039C	432.442
YDR040C	703.313
YDR041W	117.946
YDR042C	372.772
YDR043C	303.807
YDR044W	629.494
YDR045C	929.978
YDR046C	293.556
YDR047W	817.174
YDR048C	184.407
YDR049W	197.892
YDR050C	5622.04
YDR051C	105.146
YDR052C	497.775
YDR053W	340.558
YDR054C	240.989
YDR055W	273.923
YDR056C	215.781
YDR057W	519.297
YDR058C	38.647
YDR059C	643.95
YDR060W	430.026
YDR061W	422.407
YDR062W	111.567
YDR063W	315.569
YDR064W	1703.06
YDR065W	246.799
YDR066C	386.576
YDR067C	869.519
YDR068W	103.275
YDR069C	163.824
YDR070C	10136.4
YDR071C	416.253
YDR072C	806.558
YDR073W	164.34
YDR074W	289.176
YDR075W	86.332
YDR076W	278.095
YDR077W	10778.6
YDR078C	729.239
YDR079C-A	300.912
YDR079W	195.762
YDR080W	264.504
YDR081C	305.912
YDR082W	347.273
YDR083W	301.742
YDR084C	115.55
YDR085C	862.058
YDR086C	1426.06
YDR087C	630.576
YDR088C	349.304
YDR089W	170.004
YDR090C	720.522
YDR091C	712.817
YDR092W	394.112
YDR093W	557.436
YDR094W	177.049
YDR095C	0.42209
YDR096W	495.658
YDR097C	196.059
YDR098C	860.639
YDR098C-A	0
YDR098C-B	474.426
YDR099W	995.573
YDR100W	313.588
YDR101C	283.598
YDR102C	869.764
YDR103W	155.941
YDR104C	209.935
YDR105C	945.422
YDR106W	137.153
YDR107C	16.358
YDR108W	23.642
YDR109C	284.282
YDR110W	310.053
YDR111C	881.316
YDR112W	222.493
YDR113C	381.509
YDR114C	425.087
YDR115W	249.764
YDR116C	630.422
YDR117C	275.505
YDR118W	24.114
YDR118W-A	500.448
YDR119W	542.663
YDR119W-A	11348.6
YDR120C	584.998
YDR121W	82.967
YDR122W	410.279
YDR123C	418.625
YDR124W	190.763
YDR125C	127.796
YDR126W	292.916
YDR127W	639.451
YDR128W	221.748
YDR129C	239.333
YDR130C	416.848
YDR131C	218.489
YDR132C	382.609
YDR133C	1228.29
YDR134C	3263.16
YDR135C	358.528
YDR136C	23.708
YDR137W	38.598
YDR138W	196.903
YDR139C	828.597
YDR140W	68.377
YDR141C	21.286
YDR142C	613.085
YDR143C	285.475
YDR144C	733.948
YDR145W	107.055
YDR146C	187.806
YDR147W	277.534
YDR148C	466.953
YDR149C	138.914
YDR150W	246.038
YDR151C	536.141
YDR152W	116.706
YDR153C	741.559
YDR154C	7827.62
YDR155C	11429.8
YDR156W	661.585
YDR157W	661.728
YDR158W	358.25
YDR159W	130.373
YDR160W	272.987
YDR161W	523.526
YDR162C	117.724
YDR163W	147.396
YDR164C	288.387
YDR165W	227.624
YDR166C	400.158
YDR167W	168.699
YDR168W	179.464
YDR169C	531.452
YDR169C-A	349.964
YDR170C	301.315
YDR170W-A	130.552
YDR171W	1629.94
YDR172W	148.047
YDR173C	615.101
YDR174W	188.57
YDR175C	466.678
YDR176W	753.986
YDR177W	432.787
YDR178W	782.908
YDR179C	880.601
YDR179W-A	240.295
YDR180W	956.216
YDR181C	552.771
YDR182W	602.388
YDR182W-A	172.624
YDR183C-A	214.799
YDR183W	404.456
YDR184C	14.397
YDR185C	346.238
YDR186C	825.769
YDR187C	119.314
YDR188W	294.795
YDR189W	51.71
YDR190C	138.722
YDR191W	201.311
YDR192C	184.896
YDR193W	255.525
YDR194C	574.578
YDR194W-A	0
YDR195W	483.595
YDR196C	201.695
YDR197W	410.601
YDR198C	331.572
YDR199W	49.766
YDR200C	328.043
YDR201W	113.627
YDR202C	115.678
YDR203W	124.735
YDR204W	162.249
YDR205W	175.965
YDR206W	483.498
YDR207C	289.676
YDR208W	549.043
YDR209C	103.694
YDR210C-C	0
YDR210C-D	458.798
YDR210W	150.142
YDR210W-A	0
YDR210W-B	225.618
YDR211W	508.746
YDR212W	179.362
YDR213W	880.019
YDR214W	877.894
YDR215C	484.805
YDR216W	580.703
YDR217C	153.982
YDR218C	398.462
YDR219C	536.847
YDR220C	553.178
YDR221W	404.118
YDR222W	400.907
YDR223W	175.501
YDR224C	2450.37
YDR225W	3426.11
YDR226W	580.752
YDR227W	247.878
YDR228C	508.656
YDR229W	791.728
YDR230W	280.371
YDR231C	197.136
YDR232W	103.171
YDR233C	451.518
YDR234W	487.341
YDR235W	220.924
YDR236C	909.825
YDR237W	497.996
YDR238C	904.571
YDR239C	190.172
YDR240C	209.481
YDR241W	468.355
YDR242W	367.013
YDR243C	150.163
YDR244W	707.587
YDR245W	873.802
YDR246W	123.391
YDR246W-A	756.976
YDR247W	58.23
YDR248C	282.592
YDR249C	120.175
YDR250C	0
